Rank,City,State,Population(2017),Population(2010),Change(%),Land Area(sq mi),Land Area(sq km),Popuation Density(sq mi),Popuation Density(sq km),Coordinates,Time Zone,Official Website
1,New York City,New York,"8,398,748","8,175,133",2.74,301.5,780.9,"28,317","10,933",403949N 735619W  40.6635N 73.9387W  40.6635; -73.9387 ,UTC4,https:www.nyc.gov
2,Los Angeles,California,"3,990,456","3,792,621",5.22,468.7,"1,213.9","8,484","3,276",340110N 1182439W  34.0194N 118.4108W  34.0194; -118.4108 ,UTC7,https:www.wikidata.orgwikiQ65#P856
4,Houston,Texas,"2,325,502","2,100,263",10.72,637.5,"1,651.1","3,613","1,395",294712N 952327W  29.7866N 95.3909W  29.7866; -95.3909 ,UTC5,http:www.houstontx.gov
6,Philadelphia,Pennsylvania,"1,584,138","1,526,006",3.81,134.2,347.6,"11,683","4,511",400034N 750800W  40.0094N 75.1333W  40.0094; -75.1333 ,UTC4,http:www.phila.gov
7,San Antonio,Texas,"1,532,233","1,327,407",15.43,461.0,"1,194.0","3,238","1,250",292821N 983130W  29.4724N 98.5251W  29.4724; -98.5251 ,UTC5,http:www.sanantonio.gov
8,San Diego,California,"1,425,976","1,307,402",9.07,325.2,842.3,"4,325","1,670",324855N 1170806W  32.8153N 117.1350W  32.8153; -117.1350 ,UTC7,http:www.sandiego.gov
12,Jacksonville,Florida,"903,889","821,784",9.99,747.4,"1,935.8","1,178",455,302013N 813942W  30.3369N 81.6616W  30.3369; -81.6616 ,UTC4,http:www.coj.net
13,Fort Worth,Texas,"895,008","741,206",20.75,342.9,888.1,"2,491",962,324653N 972048W  32.7815N 97.3467W  32.7815; -97.3467 ,UTC5,http:www.fortworthtexas.gov
14,Columbus,Ohio,"892,533","787,033",13.40,218.5,565.9,"3,936","1,520",395907N 825905W  39.9852N 82.9848W  39.9852; -82.9848 ,UTC4,http:www.columbus.gov
18,Seattle,Washington,"744,955","608,660",22.39,83.8,217.0,"8,405","3,245",473714N 1222103W  47.6205N 122.3509W  47.6205; -122.3509 ,UTC7,https:www.wikidata.orgwikiQ5083#P856
19,Denver,Colorado,"716,492","600,158",19.38,153.3,397.0,"4,521","1,746",394543N 1045252W  39.7619N 104.8811W  39.7619; -104.8811 ,UTC6,http:www.denvergov.org
21,Boston,Massachusetts,"694,583","617,594",12.47,48.3,125.1,"13,938","5,381",421955N 710113W  42.3320N 71.0202W  42.3320; -71.0202 ,UTC4,https:www.boston.gov
25,Portland,Oregon,"653,115","583,776",11.88,133.5,345.8,"4,793","1,851",453213N 1223900W  45.5370N 122.6500W  45.5370; -122.6500 ,UTC7,http:www.PortlandOregon.gov
